               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.027432,           0.0066152,          0.00095662,              0.9751,             0.97351,             0.98935,             0.65057,            0.023703,           0.0057601,          0.00061127,            0.006931,            0.006931,            0.006931
                  64,            0.027569,           0.0067785,           0.0012444,             0.96721,             0.98232,             0.98924,             0.67545,            0.023393,           0.0056226,          0.00063203,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026629,           0.0069313,           0.0011221,             0.94403,             0.97045,             0.98132,             0.65604,            0.025455,           0.0067366,          0.00088922,            0.006832,            0.006832,            0.006832
                  66,             0.02676,           0.0064715,           0.0010047,             0.96512,              0.9786,             0.98728,             0.65749,            0.024404,           0.0056843,          0.00055168,           0.0067825,           0.0067825,           0.0067825
                  67,            0.027114,           0.0066374,           0.0010058,             0.96011,             0.97878,             0.98653,             0.66901,            0.024014,           0.0059096,          0.00067054,            0.006733,            0.006733,            0.006733
                  68,            0.027144,           0.0065173,           0.0010441,              0.9645,             0.97874,             0.98202,             0.67367,            0.023832,           0.0057734,          0.00068601,           0.0066835,           0.0066835,           0.0066835
                  69,            0.026966,           0.0066346,            0.001127,             0.95356,              0.9487,             0.96926,             0.64378,            0.026059,            0.006285,          0.00073984,            0.006634,            0.006634,            0.006634
                  70,            0.026913,           0.0067013,           0.0013124,             0.90161,             0.76344,              0.8726,             0.52285,            0.037799,           0.0094824,            0.018058,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026814,           0.0065952,           0.0010388,             0.95609,             0.97225,             0.98085,             0.66452,            0.023527,           0.0058347,          0.00058493,            0.006535,            0.006535,            0.006535
                  72,            0.027248,           0.0066579,           0.0013232,             0.95986,               0.978,             0.98275,             0.66756,            0.024516,           0.0059193,          0.00070767,           0.0064855,           0.0064855,           0.0064855
                  73,            0.027138,           0.0066557,           0.0011554,             0.96006,             0.98775,             0.98704,             0.66687,            0.023183,           0.0055281,          0.00055355,            0.006436,            0.006436,            0.006436
